Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio,	run
SNP,PASS,3327496,3306925,20571,3783487,2423,472507,940,241,0.993818,0.999268,0.12488699999999998,0.9965360000000001,2.1025758866729185,1.9866751048725904,1.535136601693727,1.4593157792730627,	deepvariant_HG003_bwamem2
INDEL,ALL,504501,490768,13733,902298,12385,381026,9122,1020,0.9727790000000001,0.976241,0.422284,0.974507,,,1.489759281064042,1.8979370677595413,	freebayes_HG003_bwamem2
INDEL,PASS,504501,490768,13733,902298,12385,381026,9122,1020,0.9727790000000001,0.976241,0.422284,0.974507,,,1.489759281064042,1.8979370677595413,	freebayes_HG003_bwamem2
SNP,ALL,3327496,3309189,18307,4380481,95159,972715,3178,11966,0.994498,0.972076,0.222057,0.983159,2.1025758866729185,1.8252446340419166,1.535136601693727,1.8174789944085905,	freebayes_HG003_bwamem2
SNP,PASS,3327496,3309189,18307,4380481,95159,972715,3178,11966,0.994498,0.972076,0.222057,0.983159,2.1025758866729185,1.8252446340419166,1.535136601693727,1.8174789944085905,	freebayes_HG003_bwamem2
INDEL,ALL,504501,500434,4067,930968,4240,405389,1775,503,0.9919389999999999,0.991933,0.435449,0.991936,,,1.489759281064042,1.935126740969605,	haplotypecaller_filtered_HG003_bwamem2
INDEL,PASS,504501,500278,4223,916525,3006,392336,1775,354,0.9916290000000001,0.994265,0.428069,0.9929459999999999,,,1.489759281064042,1.8892890890968637,	haplotypecaller_filtered_HG003_bwamem2
SNP,ALL,3327496,3306701,20795,3988873,32143,649171,2507,3251,0.993751,0.990375,0.162745,0.99206,2.1025758866729185,1.9407329833671483,1.535136601693727,1.7061378560403144,	haplotypecaller_filtered_HG003_bwamem2
SNP,PASS,3327496,3306701,20795,3981878,32138,642181,2507,3251,0.993751,0.9903770000000001,0.161276,0.9920610000000001,2.1025758866729185,1.9436974970014123,1.535136601693727,1.7028704890955915,	haplotypecaller_filtered_HG003_bwamem2
INDEL,ALL,504501,500434,4067,930968,4240,405389,1775,503,0.9919389999999999,0.991933,0.435449,0.991936,,,1.489759281064042,1.935126740969605,	haplotypecaller_HG003_bwamem2
INDEL,PASS,504501,500434,4067,930968,4240,405389,1775,503,0.9919389999999999,0.991933,0.435449,0.991936,,,1.489759281064042,1.935126740969605,	haplotypecaller_HG003_bwamem2
SNP,ALL,3327496,3306701,20795,3988873,32143,649171,2507,3251,0.993751,0.990375,0.162745,0.99206,2.1025758866729185,1.9407329833671483,1.535136601693727,1.7061378560403144,	haplotypecaller_HG003_bwamem2
SNP,PASS,3327496,3306701,20795,3988873,32143,649171,2507,3251,0.993751,0.990375,0.162745,0.99206,2.1025758866729185,1.9407329833671483,1.535136601693727,1.7061378560403144,	haplotypecaller_HG003_bwamem2
INDEL,ALL,504501,499885,4616,916146,4336,392948,1870,545,0.99085,0.991713,0.428914,0.991281,,,1.489759281064042,1.9797008974410262,	strelka_HG003_bwamem2
INDEL,PASS,504501,498902,5599,870178,2021,350252,1161,277,0.9889020000000001,0.9961129999999999,0.402506,0.9924940000000001,,,1.489759281064042,1.8882052504341311,	strelka_HG003_bwamem2
SNP,ALL,3327496,3307344,20152,4164460,31003,823094,3220,3380,0.993944,0.990721,0.197647,0.9923299999999999,2.1025758866729185,1.862599002519127,1.535136601693727,1.7803036426024104,	strelka_HG003_bwamem2
SNP,PASS,3327496,3294115,33381,3675968,3318,375613,623,492,0.9899680000000001,0.9989950000000001,0.102181,0.994461,2.1025758866729185,2.0360689903457114,1.535136601693727,1.5326781821277158,	strelka_HG003_bwamem2
INDEL,ALL,504501,499885,4616,916146,4336,392948,1870,545,0.99085,0.991713,0.428914,0.991281,,,1.489759281064042,1.9797008974410262,	strelka_HG003_bwa
INDEL,PASS,504501,498902,5599,870178,2021,350252,1161,277,0.9889020000000001,0.9961129999999999,0.402506,0.9924940000000001,,,1.489759281064042,1.8882052504341311,	strelka_HG003_bwa
SNP,ALL,3327496,3307344,20152,4164460,31003,823094,3220,3380,0.993944,0.990721,0.197647,0.9923299999999999,2.1025758866729185,1.862599002519127,1.535136601693727,1.7803036426024104,	strelka_HG003_bwa
SNP,PASS,3327496,3294115,33381,3675968,3318,375613,623,492,0.9899680000000001,0.9989950000000001,0.102181,0.994461,2.1025758866729185,2.0360689903457114,1.535136601693727,1.5326781821277158,	strelka_HG003_bwa
INDEL,ALL,504501,492375,12126,910752,1403,396245,1029,229,0.9759639999999999,0.997273,0.435075,0.986504,,,1.489759281064042,1.9503109525318039,	deepvariant_HG003_dragmap
INDEL,PASS,504501,492375,12126,910752,1403,396245,1029,229,0.9759639999999999,0.997273,0.435075,0.986504,,,1.489759281064042,1.9503109525318039,	deepvariant_HG003_dragmap
SNP,ALL,3327495,3231781,95714,3664948,3343,428177,1941,232,0.9712350000000001,0.998967,0.11682999999999999,0.984906,2.102574954461471,1.9942754326299523,1.5351377716469723,1.4642681276219025,	deepvariant_HG003_dragmap
SNP,PASS,3327495,3231781,95714,3664948,3343,428177,1941,232,0.9712350000000001,0.998967,0.11682999999999999,0.984906,2.102574954461471,1.9942754326299523,1.5351377716469723,1.4642681276219025,	deepvariant_HG003_dragmap
INDEL,ALL,504501,481798,22703,875121,11031,364110,9142,902,0.9549989999999999,0.9784129999999999,0.41606800000000005,0.966564,,,1.489759281064042,1.9017665326070357,	freebayes_HG003_dragmap
INDEL,PASS,504501,481798,22703,875121,11031,364110,9142,902,0.9549989999999999,0.9784129999999999,0.41606800000000005,0.966564,,,1.489759281064042,1.9017665326070357,	freebayes_HG003_dragmap
SNP,ALL,3327495,3234679,92816,4081832,74885,768892,2947,9431,0.9721059999999999,0.9773959999999999,0.188369,0.974744,2.102574954461471,1.8547000000699243,1.5351377716469723,1.6855337384629865,	freebayes_HG003_dragmap
SNP,PASS,3327495,3234679,92816,4081832,74885,768892,2947,9431,0.9721059999999999,0.9773959999999999,0.188369,0.974744,2.102574954461471,1.8547000000699243,1.5351377716469723,1.6855337384629865,	freebayes_HG003_dragmap
INDEL,ALL,504501,490495,14006,890357,2924,376686,1932,264,0.9722379999999999,0.994308,0.423073,0.9831489999999999,,,1.489759281064042,1.886755465026493,	haplotypecaller_filtered_HG003_dragmap
INDEL,PASS,504501,490143,14358,877212,2483,364334,1928,211,0.97154,0.995159,0.415332,0.983208,,,1.489759281064042,1.844792790632618,	haplotypecaller_filtered_HG003_dragmap
SNP,ALL,3327495,3227342,100153,3707303,12773,466194,1413,1038,0.969901,0.996059,0.12575,0.982806,2.102574954461471,1.9873929947296933,1.5351377716469723,1.613094814182817,	haplotypecaller_filtered_HG003_dragmap
SNP,PASS,3327495,3227342,100153,3703754,12768,462650,1413,1038,0.969901,0.9960610000000001,0.12491400000000001,0.982807,2.102574954461471,1.9889829455513046,1.5351377716469723,1.6112255246999347,	haplotypecaller_filtered_HG003_dragmap
INDEL,ALL,504501,490495,14006,890357,2924,376686,1932,264,0.9722379999999999,0.994308,0.423073,0.9831489999999999,,,1.489759281064042,1.886755465026493,	haplotypecaller_HG003_dragmap
INDEL,PASS,504501,490495,14006,890357,2924,376686,1932,264,0.9722379999999999,0.994308,0.423073,0.9831489999999999,,,1.489759281064042,1.886755465026493,	haplotypecaller_HG003_dragmap
SNP,ALL,3327495,3227342,100153,3707303,12773,466194,1413,1038,0.969901,0.996059,0.12575,0.982806,2.102574954461471,1.9873929947296933,1.5351377716469723,1.613094814182817,	haplotypecaller_HG003_dragmap
SNP,PASS,3327495,3227342,100153,3707303,12773,466194,1413,1038,0.969901,0.996059,0.12575,0.982806,2.102574954461471,1.9873929947296933,1.5351377716469723,1.613094814182817,	haplotypecaller_HG003_dragmap
INDEL,ALL,504501,490442,14059,881984,3043,369846,1746,405,0.972133,0.994058,0.41933400000000004,0.982973,,,1.489759281064042,1.9404393966330704,	strelka_HG003_dragmap
INDEL,PASS,504501,489457,15044,843168,1542,333483,1107,218,0.9701799999999999,0.996975,0.395512,0.983395,,,1.489759281064042,1.86687626272319,	strelka_HG003_dragmap
SNP,ALL,3327495,3228844,98651,3894180,29845,632493,2853,3190,0.970353,0.99085,0.16242,0.9804940000000001,2.102574954461471,1.8992292720323625,1.5351377716469723,1.7106631505133216,	strelka_HG003_dragmap
SNP,PASS,3327495,3214310,113185,3551760,2324,332238,416,395,0.965985,0.9992780000000001,0.093542,0.98235,2.102574954461471,2.039439675639511,1.5351377716469723,1.534634014013371,	strelka_HG003_dragmap
INDEL,ALL,510519,506995,3524,930979,1776,400433,1339,275,0.9930969999999999,0.996653,0.43012,0.994872,,,1.5161307355192988,1.9992113643066136,	deepvariant_HG004_bwa
INDEL,PASS,510519,506995,3524,930979,1776,400433,1339,275,0.9930969999999999,0.996653,0.43012,0.994872,,,1.5161307355192988,1.9992113643066136,	deepvariant_HG004_bwa
